heuristic, dimensions, error, runtime, iterations
canberra, 2, 0.0, 0.001344, 2
chebyshev, 2, 0.0, 0.000491, 2
cityblock, 2, 0.0, 0.000415, 2
cosine, 2, 0.0, 0.001158, 4
euclidean, 2, 0.0, 0.000385, 2
hamming, 2, 0.0, 0.000432, 2
minkowski-0.5n, 2, 0.0, 0.000474, 2
minkowski-n, 2, 0.0, 0.000413, 2
null, 2, 0.0, 0.000578, 5
seuclidean, 2, nan, 0.002268, 10
sqeuclidean, 2, 0.0, 0.000385, 2
canberra, 2, 1.66666652035e-07, 0.000757, 4
chebyshev, 2, 4.99999970316e-07, 0.00076, 4
cityblock, 2, 4.99999970316e-07, 0.00053, 3
cosine, 2, 2.56583660985e-08, 0.001241, 7
euclidean, 2, 4.99999970316e-07, 0.000596, 3
hamming, 2, 2.49999999369e-07, 0.000999, 5
minkowski-0.5n, 2, 4.99999970316e-07, 0.000617, 3
minkowski-n, 2, 4.99999970316e-07, 0.000594, 3
null, 2, 0.0, 0.00077, 7
seuclidean, 2, nan, 0.001469, 7
sqeuclidean, 2, 4.99999970316e-07, 0.000568, 3
canberra, 2, 9.99999798523e-08, 0.000616, 3
chebyshev, 2, 4.99999970316e-07, 0.000537, 3
cityblock, 2, 4.99999970316e-07, 0.000558, 3
cosine, 2, 0.0, 0.001394, 6
euclidean, 2, 4.99999970316e-07, 0.000545, 3
hamming, 2, 2.49999999369e-07, 0.00067, 4
minkowski-0.5n, 2, 4.99999970316e-07, 0.000776, 3
minkowski-n, 2, 4.99999970316e-07, 0.000723, 3
null, 2, 0.0, 0.000976, 7
seuclidean, 2, nan, 0.001993, 9
sqeuclidean, 2, 4.99999970316e-07, 0.000563, 3
canberra, 2, 4.99999970316e-07, 0.001066, 6
chebyshev, 2, 4.99999970316e-07, 0.000814, 4
cityblock, 2, 4.99999970316e-07, 0.000645, 3
cosine, 2, 1.46446609506e-07, 0.001718, 8
euclidean, 2, 4.99999970316e-07, 0.000595, 3
hamming, 2, 2.49999999369e-07, 0.00118, 7
minkowski-0.5n, 2, 4.99999970316e-07, 0.000629, 3
minkowski-n, 2, 4.99999970316e-07, 0.000639, 3
null, 2, 0.0, 0.001286, 11
seuclidean, 2, nan, 0.001359, 5
sqeuclidean, 2, 4.99999970316e-07, 0.000624, 3
canberra, 2, 6.66666636562e-07, 0.000873, 4
chebyshev, 2, 4.99999970316e-07, 0.000686, 3
cityblock, 2, 9.99999969054e-07, 0.000645, 3
cosine, 2, 1.46446581084e-07, 0.001597, 7
euclidean, 2, 7.07106750042e-07, 0.000627, 3
hamming, 2, 4.99999970316e-07, 0.001061, 6
minkowski-0.5n, 2, 9.99999969054e-07, 0.00065, 3
minkowski-n, 2, 7.07106750042e-07, 0.000681, 3
null, 2, 0.0, 0.001228, 9
seuclidean, 2, nan, 0.002127, 10
sqeuclidean, 2, 9.99999969054e-07, 0.000644, 3
canberra, 2, 6.66666650773e-07, 0.001459, 8
chebyshev, 2, 4.99999970316e-07, 0.000965, 5
cityblock, 2, 9.99999969054e-07, 0.000931, 4
cosine, 2, 1.46446609506e-07, 0.001736, 8
euclidean, 2, 7.07106750042e-07, 0.000793, 4
hamming, 2, 4.99999970316e-07, 0.001493, 9
minkowski-0.5n, 2, 9.99999969054e-07, 0.000912, 4
minkowski-n, 2, 7.07106750042e-07, 0.000906, 4
null, 2, 0.0, 0.001398, 13
seuclidean, 2, nan, 0.002099, 8
